feature	weight
LOC106997831	0
HIST1H1D	0
LOC696872	0
HIST1H2AC	0
LOC114677671	0
LOC696005	0
LOC695323	0
CARMIL1	0
GMNN	0
LOC106997839	0
SOX4	0
CDKAL1	0
MBOAT1	0
ATXN1	0
JARID2	0
CD83	0
RNF182	0
PHACTR1	0
EDN1	0
HIVEP1	0
SYCP2L	0
TXNDC5	0
BMP6	0
DSP	0
LOC722929	0
SERPINB9	0
GMDS	0
IRF4	0
LOC114678204	0
CPLX1	0
SLBP	0
TACC3	0
C5H4orf48	0
DOK7	0
PPP2R2C	0
C5H4orf50	0
CRMP1	0
STK32B	0
LOC106998236	0
NSG1	0
CLNK	0
LOC114678245	0
CPEB2	0
CD38	0
FGFBP2	0
LCORL	0
RBPJ	0
ARAP2	0
DTHD1	0
NWD2	0
LOC705407	0
RBM47	0
NSUN7	0
APBB2	0
UCHL1	0
LOC114678288	0
ATP8A1	0
GABRA2	0
TXK	0
WDFY3	0
GPAT3	0
PLAC8	0
RASGEF1B	0
FGF5	0
ANTXR2	0
LOC106998343	0
BMP2K	0
ANXA3	0
FRAS1	0
CNOT6L	0
CXCL13	0
ART3	0
CXCL11	0
CXCL10	0
CXCL9	0
ODAPH	-0.0468248632916336
PARM1	0
AREG	0
EREG	0
LOC702067	0
LOC100424064	0
CXCL3	0
PPBP	0
LOC703451	0
CXCL1	0
PF4V1	0
CXCL6	0
CXCL8	0
ALB	0
SLC4A4	0
JCHAIN	0
CSN3	0
FDCSP	0
SPINK2	0
HOPX	-0.0250532909345349
CLOCK	0
KIT	0
PDGFRA	0
SCFD2	0
LOC106998398	0
PTPN13	0
AFF1	0
SPP1	0
HERC6	0
HERC5	0
HERC3	0
FAM13A	0
GPRIN3	0.00752127376908844
MMRN1	0
CCSER1	0
HPGDS	0
BMPR1B	0
STPG2	0
TSPAN5	0
ADH1B	0
DAPP1	0
H2AFZ	0
LOC114678362	0
PPP3CA	0
LOC106998430	0
NFKB1	0
SLC9B1	0
SLC9B2	0
CENPE	0
GSTCD	0
LOC106998458	0
LEF1	0
FAM241A	0
TIFA	0
ALPK1	0
NEUROG2	0
ANK2	0
CAMK2D	0
ARSJ	0
NDST3	0
SEC24D	0
SYNPO2	0
NDNF	0
TNIP3	0
LOC114678389	0
TMEM155	0
LOC106998484	0
ADAD1	0
IL2	0
IL21	0
FGF2	0
SPATA5	0
SPRY1	0
SCLT1	0
LOC114678180	0
SLC7A11	0
LOC106998502	0
MAML3	0
TBC1D9	0
IL15	0
INPP4B	0
SMAD1	0
ZNF827	0
REELD1	0
SLC10A7	0
ARHGAP10	0
NR3C2	0
LOC114678410	0
LRBA	0
FAM160A1	0
FBXW7	0
RNF175	0
SFRP2	0
LOC114678189	0
LOC106998550	0
GUCY1B1	0
PDGFC	0
LOC114678418	0
TMEM144	0
FNIP2	0
RAPGEF2	0
LOC114678421	0
CPE	0
DDX60	-0.0548006488316267
DDX60L	-0.0579716173772288
SH3RF1	0
LOC106998572	0
LOC106998573	-0.0984399072951213
GALNT7	0
HMGB2	0
LOC106998587	0
LOC114678439	0
HPGD	0
LOC114678442	0
TENM3	0
WWC2	0
SNX25	0
AHRR	0
NKD2	0
LOC114678731	0
LOC114678736	0
UBE2QL1	0
SEMA5A	0
LOC114678746	0
TRIO	0
FBXL7	0
RETREG1	0
BASP1	0
LOC114678757	0
LOC114678672	0
CDH6	0
LOC106998702	0
LOC106998709	0
IL7R	0
UGT3A2	0
SLC1A3	0
GDNF	0
LOC114679141	0
PTGER4	0
SELENOP	0
EMB	0
PARP8	0
ITGA1	0
ITGA2	0
FST	0
ARL15	0
GZMK	0
GZMA	0
SLC38A9	0
IL31RA	0
IL6ST	0
PLK2	0
RAB3C	0
PDE4D	0
LOC114679014	0
LOC114679016	0
ZSWIM6	0
RNF180	0
ADAMTS6	0
ERBIN	0
MAST4	0
LOC114678819	0
ARHGEF28	0
SV2C	0
IQGAP2	0
PDE8B	-0.0202483970032231
LOC106998817	0
ARSB	0
JMY	0
HOMER1	0
CMYA5	0
THBS4	0
RASGRF2	0
SSBP2	0
ATG10	0
XRCC4	0
VCAN	0
LOC114678838	0
RASA1	0
MEF2C	0
ARRDC3	0
KIAA0825	0
RHOBTB3	0
GLRX	0
ELL2	0
LOC106995639	0
PAM	0
FBXL17	0
FER	0
MAN2A1	0
TSLP	0
CAMK4	0
STARD4	0
LOC114678878	0
LOC106998892	0
COMMD10	0
ZNF474	0
LOC114678891	0
LOC114678892	0
MARCH3	0
LOC106998930	0
SLC12A2	0
CHSY3	0
RAPGEF6	0
FNIP1	0
IL3	0
CSF2	0
IRF1	0
IL13	0
IL4	0
SOWAHA	0
TCF7	0
IL9	0
TGFBI	0
SPOCK1	0
CDC25C	0
EGR1	0
HSPA9	0
CTNNA1	0
MZB1	0
TMEM173	0
LOC699998	0
PCDHB12	0
PCDHB13	0
GNPDA1	0
FGF1	0
ARHGAP26	0
KCTD16	0
SH3RF2	0
PPP2R2B	0
JAKMIP2	0
SCGB3A2	0
HTR4	0
CD74	0
SGCD	0
TIMD4	0
NIPAL4	0
ADAM19	0
EBF1	0
PTTG1	0
LOC114678963	0
HMMR	0
LOC114678964	0
DUSP1	0
STC2	0
LOC114678972	0
LOC114678978	0
HRH2	0
SIMC1	0
SNCB	0
SQSTM1	0
SCGB3A1	0
LOC114679308	0
LOC114679309	0
LOC114679310	0
OCA2	0
GABRG3	0
LOC106999090	0
LOC106999089	0
LOC106996568	0
LOC114679332	0
LOC114679334	0
LOC114679331	0
NDN	0
TRPM1	0
LOC106995763	0
LOC720095	0
FMN1	0
GJD2	0
ACTC1	0
LOC100426426	0
DPH6	0
LOC114679367	0
LOC106999127	0
C7H15orf41	0
MEIS2	0
SPRED1	0
LOC106999138	0
THBS1	0
GPR176	0
LOC106999143	0
LOC106999146	0
RAD51	0
CHAC1	0
NUSAP1	0
HYPK	0
WDR76	0
FRMD5	0
LOC106999166	0
SEMA6D	0
FBN1	0
LOC106999174	0
ATP8B4	0
GABPB1	0
CYP19A1	0
LOC106999183	0
GLDN	0
DMXL2	0
ONECUT1	0
PYGO1	0
RFX7	0
TCF12	0
MYZAP	0
LOC114679418	0
CCNB2	0
MYO1E	0
GCNT3	0
FOXB1	0
ANXA2	0
RORA	0
C2CD4B	0
TLN2	0
HERC1	0
DAPK2	-0.0175761500332044
PCLAF	0
ZNF609	0
LOC114680081	0
LOC114680080	0
DENND4A	0
TIPIN	0
LOC114679440	0
KIF23	0
LOC106999226	0
LRRC49	0
LOC106999229	0
MYO9A	0
PKM	0
ARIH1	0
SEMA7A	0
CYP1A1	0
SCAPER	0
PEAK1	0
TBC1D2B	0
CRABP1	0
CTSH	0
LOC114679466	0
BCL2A1	0
CEMIP	0
LOC106999257	0
CPEB1	0
PDE8A	0
NMB	0
ISG20	0
MFGE8	0
BLM	0
FURIN	-0.00364917629763194
LOC114679493	0
SLCO3A1	0
RGMA	0
MCTP2	0
LOC106999301	0
IGF1R	0
LOC106999323	0
SYNM	0
LOC100430473	0
ADAMTS17	0
PNP	0
LOC114679524	0
TRNAP-AGG-4	0
RNASE4	0
LOC106999328	0
EDDM3A	0
RNASE1	0
LOC114679525	0
RNASE3	0
LOC710951	0
LOC106999354	0
LOC711031	0
SLC22A17	0
DHRS2	0
CPNE6	0
PSME2	0
